Compound_cat1	Compound_cat2	Compound	Transporter	TransportCluster	Family	Desc	Comment	
Ions	Na			T83	PF00209	Sodium:neurotransmitter symporter family		
Ions	Na|H			T107.14	PF13726	Na+-H+ antiporter family		
Ions	Na|H			T107.18	COG1563	Predicted subunit of the Multisubunit Na+/H+ antiporter		
Ions	Na|H			T107.2	COG0387	Ca2+/H+ antiporter		
Ions	Na|H			T107.7	PF08619	Alkali metal cation/H+ antiporter Nha1 C terminus		
Ions	Na|H			T107.7	PF00999	Sodium/hydrogen exchanger family		
Ions	Na|H			T107.9	TIGR00844	c_cpa1: sodium/hydrogen antiporter		
Ions	Na|H			T41.3	TIGR00831	a_cpa1: Na+/H+ antiporter	1	
Ions	Na|H			T41.3	COG3263	NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain	1	
Ions	Na|H			T41.3	COG1055	Na+/H+ antiporter NhaD and related arsenite permeases	2	
Ions	Na|H			T41.3	TIGR00775	NhaD: Na+/H+ antiporter, NhaD family	2	
Ions	Na|H			T41.3	COG0025	NhaP-type Na+/H+ and K+/H+ antiporters	2	
Ions	Na|H			T41.3	TIGR00931	antiport_nhaC: Na+/H+ antiporter NhaC	2	
Ions	Na|H			T41.3	PF03553	Na+/H+ antiporter family	2	
Ions	Na|H			T41.3	COG1757	Na+/H+ antiporter	2	
Ions	Na|H			T41.3	TIGR00774	NhaB: Na+/H+ antiporter NhaB	3	
Ions	Na|H			T41.3	PF06450	Bacterial Na+/H+ antiporter B (NhaB)	3	
Ions	Na|H			T41.3	COG3067	Na+/H+ antiporter	3	
Ions	Na|H			T41.3	PF06965	Na+/H+ antiporter 1	4	
Ions	Na|H			T41.3	TIGR00773	NhaA: Na+/H+ antiporter NhaA	4	
Ions	Na|H			T41.3	COG3004	Na+/H+ antiporter	4	
Ions	Na|H		Mnh	T46	TIGR00940	2a6301s01: monovalent cation:proton antiporter		
Ions	Na|H		Mnh	T46	TIGR00943	2a6301s02: monovalent cation:proton antiporter		
Ions	Na|H		Mnh	T46	TIGR00941	2a6301s03: multicomponent Na+:H+ antiporter, MnhC subunit		
Ions	Na|H		Mnh	T46	TIGR00944	2a6301s04: multicomponent K+:H+antiporter		
Ions	Na|H		Mnh	T46	TIGR00942	2a6301s05: multicomponent Na+:H+ antiporter		
Ions	Na|H		Mnh	T46	TIGR01300	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit		
Ions	Na|H		Mnh	T46	PF04039	Domain related to MnhB subunit of Na+/H+ antiporter		
Ions	Na|H		Mnh	T46	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit		
Ions	Na|H		Mnh	T46	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit		
Ions	Na|H		Mnh	T46	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit		
Ions	Na|H		Mnh	T46	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit		
Ions	Na|H		Mnh	T46	COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit		
Ions	Na|H		Mnh	T46	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit		
Ions	Na|H		Mnh	T46	PF03334	Na+/H+ antiporter subunit		
Ions	Na|H		Mnh	T46	PF01899	Na+/H+ ion antiporter subunit		
Ions	Na|H		Mnh	T46	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit		
Ions	Na|H|K			T3.1	TIGR01106	ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit		
Ions	Na|K			T107.8	TIGR01523	ATPase-IID_K-Na: potassium/sodium efflux P-type ATPase, fungal-type		
Ions	Organic anion			T107.1	TIGR00805	oat: sodium-independent organic anion transporter		
Ions	Organic anion			T107.1	PF03137	Organic Anion Transporter Polypeptide (OATP) family		
Ions	Sodium symport			T24	TIGR02121	Na_Pro_sym: sodium/proline symporter		
Ions	Sodium symport			T24	TIGR03648	Na_symport_lg: probable sodium:solute symporter, VC_2705 subfamily		
Ions	Sodium symport			T24	COG4145	Na+/panthothenate symporter		
Ions	Sodium symport			T24	COG0591	Na+/proline symporter		
Ions	Sodium symport			T24	TIGR02119	panF: sodium/pantothenate symporter		
Ions	Sodium symport			T24	COG4146	Predicted symporter		
Ions	Sodium symport			T24	COG4147	Predicted symporter		
Ions	Sodium symport			T24	PF00474	Sodium:solute symporter family		
Ions	Sodium symport			T24	TIGR00813	sss: transporter, solute:sodium symporter (SSS) family		
Ions	Sodium symport			T24	TIGR02711	symport_actP: cation/acetate symporter ActP		
Ions	Sulfate			T198	TIGR00971	3a0106s03: sulfate ABC transporter, sulfate-binding protein		
Ions	Sulfate			T57	COG1613	ABC-type sulfate transport system, periplasmic component		
Ions	Sulfate			T57	COG4150	ABC-type sulfate transport system, periplasmic component		
Ions	Sulfate			T57	COG4208	ABC-type sulfate transport system, permease component		
Ions	Sulfate			T6.1	COG0659	Sulfate permease and related transporters (MFS superfamily)		
Ions	Sulfate			T6.1	PF00916	Sulfate transporter family		
Ions	Sulfate			T6.1	PF13792	Sulfate transporter N-terminal domain with GLY motif		
Ions	Sulfate			T6.1	TIGR00815	sulP: sulfate permease		
Ions	Sulfite			T6.3	PF01925	Sulfite exporter TauE/SafE		
Ions	Sulfite			T6.3	COG0730	Predicted permeases		
Ions	Sulphur			T6.2	COG2391	Predicted transporter component		
Ions	Sulphur			T6.2	PF04143	Sulphur transport		
Iron	Fe2+		feoB	T1	COG0370	Fe2+ transport system protein B	Blueprint Marker	
Iron	Fe2+		feoB	T1	TIGR00437	feoB: ferrous iron transport protein B	Blueprint Marker	
Iron	Fe2+		feoB	T1	PF02421	Ferrous iron transport protein B	Blueprint Marker	
Iron	Fe2+		feoB	T1	PF07664	Ferrous iron transport protein B C terminus	Blueprint Marker	
Iron	Fe2+		feoB	T1	PF10634	Fe2+ transport protein	Blueprint Marker	
Iron	Fe2+			T13.7	COG1629	Outer membrane receptor proteins, mostly Fe transport		
Iron	Fe3+		fepC	T71.1	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components	Blueprint Marker	
Iron	Fe3+		fepD	T71.7	COG0609	ABC-type Fe3+-siderophore transport system, permease component	Blueprint Marker	
Iron	Fe3+		fepD	T71.7	PF01032	FecCD transport family	Blueprint Marker	
Iron	Fe3+		futA/futB/idiA	T71.2	COG1840	ABC-type Fe3+ transport system, periplasmic component	Blueprint Marker	
Iron	Fe3+		futA/futB/idiA	T71.2	COG1178	ABC-type Fe3+ transport system, permease component	Blueprint Marker	
Iron	Heme			T20.21	TIGR01190	ccmB: heme exporter protein CcmB		
Iron	Heme			T20.21	COG2386	ABC-type transport system involved in cytochrome c biogenesis, permease component		
Iron	Heme			T20.21	TIGR01189	ccmA: heme ABC exporter, ATP-binding protein CcmA		
Iron	Heme			T20.21	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component		
Iron	Heme			T20.21	TIGR01191	ccmC: heme exporter protein CcmC		
Iron	Heme			T20.21	COG4133	ABC-type transport system involved in cytochrome c biogenesis, ATPase component		
Iron	Heme			T20.21	COG3114	Heme exporter protein D		
Iron	Heme			T20.21	PF04995	Heme exporter protein D (CcmD)		
Iron	Heme			T20.21	TIGR03141	cytochro_ccmD: heme exporter protein CcmD		
Iron	Heme			T49	TIGR03656	IsdC: heme uptake protein IsdC		
Iron	Heme			T49	TIGR03657	IsdB: heme uptake protein IsdB		
Iron	Heme			T49	TIGR03658	IsdH_HarA: haptoglobin-binding heme uptake protein HarA		
Iron	Heme			T49	TIGR03659	IsdE: heme ABC transporter, heme-binding protein isdE		
Iron	Heme		fepB	T5.2	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	Blueprint marker	
Iron	Heme		fepB	T5.2	TIGR04281	peripla_PGF_1: putative ABC transporter PGF-CTERM-modified substrate-binding protein	Blueprint marker	
Iron	Hemin			T20.50	COG4559	ABC-type hemin transport system, ATPase component		
Iron	Hemin			T20.50	COG4558	ABC-type hemin transport system, periplasmic component		
Iron	Hemin			T20.50	COG4256	Hemin uptake protein		
Iron	Hemin			T20.50	PF10636	Hemin uptake protein hemP		
Iron	Iron			T20.4	COG0396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component		
Iron	Iron			T20.4	COG0719	ABC-type transport system involved in Fe-S cluster assembly, permease component		
Iron	Iron			T20.4	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components		
Iron	Iron			T71.4	COG4594	ABC-type Fe3+-citrate transport system, periplasmic component		
Iron	Iron			T71.5	PF06276	Ferric iron reductase FhuF-like transporter		
Iron	Iron			T71.5	PF05031	Iron Transport-associated domain		
Iron	Iron			T71.5	PF04120	Low affinity iron permease		
Iron	Iron			T71.5	COG2822	Predicted periplasmic lipoprotein involved in iron transport		
Iron	Iron			T71.5	COG1965	Protein implicated in iron transport, frataxin homolog		
Iron	Iron			T71.5	PF03239	Iron permease FTR1 family		
Iron	Siderophore			T180	TIGR02718	sider_RhtX_FptX: siderophore transporter, RhtX/FptX family		
Iron	Siderophore			T20.7	COG4615	ABC-type siderophore export system, fused ATPase and permease components		
Iron	Siderophore			T20.7	TIGR01194	cyc_pep_trnsptr: cyclic peptide transporter		
Iron	TonB|heme			T13.4	TIGR01785	TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein		
Iron	TonB|heme			T13.4	TIGR01786	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein		
Iron	TonB|siderophor		fecA	T13.3	TIGR01783	TonB-siderophor: TonB-dependent siderophore receptor	Blueprint marker	
Iron	TonB|siderophor		fecA	T13.3	COG4772 Outer membrane receptor for Fe3+-dicitrate		Blueprint marker	
Iron	TonB|heme			T13.4	TIGR01776	TonB-tbp-lbp: TonB-dependent lactoferrin and transferrin receptors		
Iron	Transferrin			T248	PF01298	Transferrin binding protein-like solute binding protein		
Lipids and fatty-acids	Lipids and fatty-acids			T18	TIGR00921	2A067: efflux transporter, putative, hydrophobe/amphiphile efflux-3 (HAE3) family		
Lipids and fatty-acids	Lipids and fatty-acids			T18	TIGR00833	actII: transport protein		
Lipids and fatty-acids	Lipids and fatty-acids			T18	TIGR03480	HpnN: hopanoid biosynthesis associated RND transporter like protein HpnN		
Lipids and fatty-acids	Lipids and fatty-acids			T18	COG2409	Predicted drug exporters of the RND superfamily		
Lipids and fatty-acids	Lipids and fatty-acids			T18	COG1033	Predicted exporters of the RND superfamily		
Lipids and fatty-acids	Lipids and fatty-acids			T12.3	TIGR01185	devC: ABC exporter transmembrane subunit, DevC protein		
Lipids and fatty-acids	Lipids and fatty-acids			T12.3	TIGR02982	heterocyst_DevA: ABC exporter ATP-binding subunit, DevA family		
Lipids and fatty-acids	Lipids and fatty-acids			T12.3	TIGR02971	heterocyst_DevB: ABC exporter membrane fusion protein, DevB family		
Lipids and fatty-acids	Lipids and fatty-acids			T169	PF10604	Polyketide cyclase / dehydrase and lipid transport		
Lipids and fatty-acids	Lipids and fatty-acids			T95	COG2867	Oligoketide cyclase/lipid transport protein		
Lipids and fatty-acids	Lipids and fatty-acids			T95	PF03364	Polyketide cyclase / dehydrase and lipid transport		
Lipids and fatty-acids	Lipids and fatty-acids			T95	COG3559	Putative exporter of polyketide antibiotics		
Lipids and fatty-acids	Long-chain fatty acids			T20.8	TIGR00954	3a01203: peroxysomal long chain fatty acyl transporter		
Lipids and fatty-acids	Long-chain fatty acids			T90.1	COG2067	Long-chain fatty acid transport protein		
Lipids and fatty-acids	Long-chain fatty acids			T90.1	PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)		
Lipids and fatty-acids	Long-chain fatty acids			T90.1	COG1133	ABC-type long-chain fatty acid transport system, fused permease and ATPase components		
Lipids and fatty-acids	Short-chain fatty acids			T90.2	PF02667	Short chain fatty acid transporter		
Lipids and fatty-acids	Short-chain fatty acids			T90.2	COG2031	Short chain fatty acids transporter		
Metals	Cadmium			T28.2	COG4300	Predicted permease, cadmium resistance protein		
Metals	Cadmium			T28.4	TIGR00779	cad: cadmium resistance transporter family protein		
Metals	Cadmium			T28.5	PF03596	Cadmium resistance transporter	s	
Metals	Cobalt			T47.11	PF12558	ATP-binding cassette cobalt transporter		
Metals	Cobalt			T47.4	COG0310	ABC-type Co2+ transport system, permease component		
Metals	Cobalt			T47.4	COG1122	ABC-type cobalt transport system, ATPase component		
Metals	Cobalt		cbiNOQ	T47.4	COG0619	ABC-type cobalt transport system, permease component CbiQ and related transporters		
Metals	Cobalt		cbiNOQ	T47.4	TIGR01165	cbiN: cobalt transport protein		
Metals	Cobalt		cbiNOQ	T47.4	TIGR01166	cbiO: cobalt ABC transporter, ATP-binding protein		
Metals	Cobalt		cbiNOQ	T47.4	PF02361	Cobalt transport protein		
Metals	Cobalt		cbiNOQ	T47.4	PF02553	Cobalt transport protein component CbiN		
Metals	Cobalt		cbiM	T47.4	PF01891	Cobalt uptake substrate-specific transmembrane region		
Metals	Cobalt		cbiNOQ	T47.4	TIGR02454	ECF_T_CbiQ: cobalt ECF transporter T component CbiQ		
Metals	Cobalt|Magnesium		corABC	T47.1	COG4536	Putative Mg2+ and Co2+ transporter CorB		
Metals	Cobalt|Magnesium		corABC	T47.1	COG4535	Putative Mg2+ and Co2+ transporter CorC		
Metals	Cobalt			T47.6	COG5266	ABC-type Co2+ transport system, periplasmic component		
Metals	Cobalt|Magnesium		corABC	T47.10	PF01544	CorA-like Mg2+ transporter protein		
Metals	Cobalt|Magnesium		corABC	T47.10	TIGR00383	corA: magnesium and cobalt transport protein CorA		
Metals	Cobalt|Magnesium		corABC	T47.10	COG0598	Mg2+ and Co2+ transporters		
Metals	Cobalt|Magnesium			T47.10	COG2967	Uncharacterized protein affecting Mg2+/Co2+ transport		
Metals	Magnesium			T47.10	PF05653	Magnesium transporter NIPA		
Metals	Cobalt|Magnesium|Nickel			T47.7	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)		
Metals	Cobalt|Magnesium|Nickel			T47.7	TIGR00400	mgtE: magnesium transporter		
Metals	Cobalt|Magnesium|Nickel			T47.3	PF01769	Divalent cation transporter		
Metals	Cobalt			T47.5	PF09819	ABC-type cobalt transport system, permease component		
Metals	Cobalt			T47.5	COG4662	ABC-type tungstate transport system, periplasmic component		
Metals	Cobalt			T47.5	COG2998	ABC-type tungstate transport system, permease component		
Metals	Cobalt		cbtAB	T47.5	TIGR02458	CbtA: cobalt transporter subunit CbtA (proposed)		
Metals	Cobalt		cbtAB	T47.5	TIGR02459	CbtB: cobalt transporter subunit CbtB (proposed)		
Metals	Cobalt		cbtAB	T47.5	PF09490	Probable cobalt transporter subunit (CbtA)		
Metals	Cobalt		cbtAB	T47.5	PF09489	Probable cobalt transporter subunit (CbtB)		
Metals	Cobalt|Magnesium|Nickel			T47.9	COG4138	ABC-type cobalamin transport system, ATPase component		
Metals	Cobalt|Magnesium|Nickel			T47.9	COG4139	ABC-type cobalamin transport system, permease component		
Metals	Cobalt		cbiNOQ	T47.12	COG1930	ABC-type cobalt transport system, periplasmic component		
Metals	Cobalt			T47.13	TIGR03730	tungstate_WtpA: tungstate ABC transporter binding protein WtpA		
Metals	Cobalt|Zinc|Cadmium			T28.1	PF01545	Cation efflux family		
Metals	Cobalt|Zinc|Cadmium			T28.1	TIGR01297	CDF: cation diffusion facilitator family transporter		
Metals	Cobalt|Zinc|Cadmium			T28.1	COG1230	Co/Zn/Cd efflux system component		
Metals	Cobalt|Zinc|Cadmium			T28.1	COG0053	Predicted Co/Zn/Cd cation transporters		
Metals	Cobalt|Zinc|Cadmium			T28.3	COG3965	Predicted Co/Zn/Cd cation transporters		
Metals	Copper			T111.2	COG1276	Putative copper export protein		
Metals	Copper			T111.3	TIGR02698	CopY_TcrY: copper transport repressor, CopY/TcrY family		
Metals	Copper			T111.4	PF04145	Ctr copper transporter family		
Metals	Heavy metal			T12.10	COG3696	Putative silver efflux pump		
Metals	Heavy metal			T12.6	TIGR00914	2A0601: heavy metal efflux pump, CzcA family		
Metals	Iron			T71.3	COG0672	High-affinity Fe2+/Pb2+ permease		
Metals	Iron			T71.3	COG1914	Mn2+ and Fe2+ transporters of the NRAMP family		
Metals	Iron			T71.3	TIGR01197	nramp: metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family		
Metals	Iron		feoA	T71.6	COG1918	Fe2+ transport system protein A	Blueprint marker	
Metals	Iron		feoA	T71.6	PF04023	FeoA domain	Blueprint marker	
Metals	Iron			T71.3	COG3470	Uncharacterized protein probably involved in high-affinity Fe2+ transport		
Metals	Iron			T71.3	COG4592	ABC-type Fe2+-enterobactin transport system, periplasmic component		
Metals	Iron|Manganese|Zinc			T20.51	COG0735	Fe2+/Zn2+ uptake regulation proteins		
Metals	Iron|Manganese|Zinc			T20.51	PF01475	Ferric uptake regulator family		
Metals	Iron|Manganese|Zinc			T20.52	COG4531	ABC-type Zn2+ transport system, periplasmic component/surface adhesin		
Metals	Iron|Manganese|Zinc			T20.53	COG1108	ABC 3 transport family		
Metals	Iron|Manganese|Zinc			T20.53	COG0803	ABC-type metal ion transport system, periplasmic component/surface adhesin		
Metals	Iron|Manganese|Zinc			T20.53	COG1121	ABC-type Mn/Zn transport systems, ATPase component		
Metals	Iron|Manganese|Zinc			T20.53	TIGR03771	anch_rpt_ABC: anchored repeat-type ABC transporter, ATP-binding subunit		
Metals	Iron|Manganese|Zinc			T20.53	PF00950	anch_rpt_perm: anchored repeat-type ABC transporter, permease subunit		
Metals	Iron|Manganese|Zinc			T20.53	PF01297	Periplasmic solute binding protein family		
Metals	Magnesium			T47.8	PF10270	Membrane magnesium transporter		
Metals	Mercury			T160	TIGR02052	MerP: mercuric transport protein periplasmic component		
Metals	Mercury			T160	PF11431	Membrane transport protein MerF		
Metals	Mercury			T160	PF02411	MerT mercuric transport protein		
Metals	Metals			T144	TIGR03679	arCOG00187: arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein		
Metals	Metals			T176	PF12156	Putative metal-binding domain of cation transport ATPase		
Metals	Metals			T58	COG1135	ABC-type metal ion transport system, ATPase component		
Metals	Metals			T58	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen		
Metals	Metals			T58	COG2011	ABC-type metal ion transport system, permease component		
Metals	Molybdate			T116	TIGR00637	ModE_repress: ModE molybdate transport repressor domain		
Metals	Molybdate			T20.30	COG4148	ABC-type molybdate transport system, ATPase component	1	
Metals	Molybdate			T20.30	COG0725	ABC-type molybdate transport system, periplasmic component	1	
Metals	Molybdate			T20.30	COG4149	ABC-type molybdate transport system, permease component	1	
Metals	Molybdate			T20.31	COG1119	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA	2	
Metals	Molybdate			T20.30	TIGR01256	modA: molybdate ABC transporter, periplasmic molybdate-binding protein	1	
Metals	Molybdate			T20.30	TIGR02141	modB_ABC: molybdate ABC transporter, permease protein	1	
Metals	Molybdate			T20.30	TIGR02142	modC_ABC: molybdate ABC transporter, ATP-binding protein	1	
Metals	Molybdate|Sulfate		sulfate/molybdate	T20.38	TIGR00968	3a0106s01: sulfate ABC transporter, ATP-binding protein		
Metals	Molybdate|Sulfate		sulfate/molybdate	T20.38	TIGR00969	3a0106s02: sulfate ABC transporter, permease protein		
Metals	Molybdate|Sulfate		sulfate/molybdate	T20.38	COG0555	ABC-type sulfate transport system, permease component		
Metals	Molybdate|Sulfate		sulfate/molybdate	T20.38	COG1118	ABC-type sulfate/molybdate transport systems, ATPase component		
Metals	Molybdate|Sulfate		sulfate/molybdate	T20.38	TIGR02139	permease_CysT: sulfate ABC transporter, permease protein CysT		
Metals	Molybdate|Sulfate		sulfate/molybdate	T20.38	TIGR02140	permease_CysW: sulfate ABC transporter, permease protein CysW		
Metals	Nickel|Peptide			T21.1	COG2215	ABC-type uncharacterized transport system, permease component		
Metals	Nickel|Peptide			T21.1	PF03824	High-affinity nickel-transport protein		
Metals	Nickel|Peptide			T21.10	PF08352	Oligopeptide/dipeptide transporter, C-terminal region		
Metals	Nickel|Peptide			T21.11	COG3889	Predicted solute binding protein		
Metals	Nickel|Peptide			T21.12	TIGR04028	SBP_KPN_01854: ABC transporter substrate binding protein, KPN_01854 family		
Metals	Nickel|Peptide			T21.13	TIGR00802	nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family		
Metals	Nickel|Peptide			T21.2	COG3376	High-affinity nickel permease		
Metals	Nickel|Peptide			T21.3	COG0747	ABC-type dipeptide transport system, periplasmic component		
Metals	Nickel|Peptide			T21.3	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component		
Metals	Nickel|Peptide			T21.3	COG1124	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component		
Metals	Nickel|Peptide			T21.3	COG0601	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components		
Metals	Nickel|Peptide			T21.3	COG1173	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components		
Metals	Nickel|Peptide			T21.3	COG4608	ABC-type oligopeptide transport system, ATPase component		
Metals	Nickel|Peptide			T21.3	COG4166	ABC-type oligopeptide transport system, periplasmic component		
Metals	Nickel|Peptide			T21.3	COG4172	ABC-type uncharacterized transport system, duplicated ATPase component		
Metals	Nickel|Peptide			T21.3	COG4174	ABC-type uncharacterized transport system, permease component		
Metals	Nickel|Peptide			T21.3	COG4239	ABC-type uncharacterized transport system, permease component		
Metals	Nickel|Peptide			T21.4	COG1123	ATPase components of various ABC-type transport systems, contain duplicated ATPase		
Metals	Nickel|Peptide			T21.5	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle		
Metals	Nickel|Peptide			T21.6	PF12911	N-terminal TM domain of oligopeptide transport permease C		
Metals	Nickel|Peptide			T21.7	TIGR02294	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein		
Metals	Nickel|Peptide			T21.7	TIGR02789	nickel_nikB: nickel ABC transporter, permease subunit NikB		
Metals	Nickel|Peptide			T21.7	TIGR02790	nickel_nikC: nickel ABC transporter, permease subunit NikC		
Metals	Nickel|Peptide			T21.7	TIGR02770	nickel_nikD: nickel import ATP-binding protein NikD		
Metals	Nickel|Peptide			T21.7	TIGR02769	nickel_nikE: nickel import ATP-binding protein NikE		
Metals	Nickel|Peptide			T21.9	TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain		
Metals	Putative Manganese			T188	TIGR03770	anch_rpt_perm: anchored repeat-type ABC transporter, permease subunit		
Metals	Putative Manganese			T188	TIGR03772	anch_rpt_subst: anchored repeat ABC transporter, substrate-binding protein		
Metals	Putative Manganese			T188	TIGR03773	anch_rpt_wall: putative ABC transporter-associated repeat protein		
Metals	TonB|Copper			T111.1	TIGR01778	TonB-copper: TonB-dependent copper receptor		
Metals	TonB|Zinc			T222	TIGR04549	LP_HExxH_w_tonB: substrate import-associated zinc metallohydrolase lipoprotein		
Metals	Zinc			T35	COG0428	Predicted divalent heavy-metal cations transporter		
Metals	Zinc			T35	PF02535	ZIP Zinc transporter		
Metals	Zinc			T35	TIGR00820	zip: ZIP zinc/iron transport family		
Nitrogen	Ammonia		amt	T27	COG0004	Ammonia permease	Blueprint Marker	
Nitrogen	Ammonia		amt	T27	PF00909	Ammonium Transporter Family	Blueprint Marker	
Nitrogen	Ammonia		amt	T27	TIGR00836	amt: ammonium transporter	Blueprint Marker	
Nitrogen	Ammonia		amt	T27	TIGR03644	marine_trans_1: probable ammonium transporter, marine subtype	Blueprint Marker	
Nitrogen	Cyanate			T19.12	COG2807	Cyanate permease	Blueprint Marker	
Nitrogen	Cyanate			T19.12	TIGR00896	CynX: cyanate transporter	Blueprint Marker	
Nitrogen	Formate|Nitrite			T16	TIGR00790	fnt: formate/nitrite transporter		
Nitrogen	Formate|Nitrite			T16	TIGR04060	formate_focA: formate transporter FocA		
Nitrogen	Formate|Nitrite			T16	COG2116	Formate/nitrite family of transporters		
Nitrogen	Formate|Nitrite			T16	PF01226	Formate/nitrite transporter		
Nitrogen	Nitrate|Nitrite		nrtP	T19.10	TIGR00886	2A0108: nitrite transporter	Blueprint Marker	
Nitrogen	Nitrate|Nitrite		nrtP	T19.10	COG2223	Nitrate/nitrite transporter	Blueprint Marker	
Nitrogen	Nitrate|Sulfonate|Bicarbonate		ssuA	T20.15	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	Blueprint Marker	
Nitrogen	Nitrate|Sulfonate|Bicarbonate		ssuA	T20.15	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	Blueprint Marker	
Nitrogen	Nitrate|Sulfonate|Bicarbonate		ssuA	T20.15	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	Blueprint Marker	
Nitrogen	Nitrate|Sulfonate|Bicarbonate		ssuA	T20.15	TIGR01183	ntrB: nitrate ABC transporter, permease protein	Blueprint Marker	
Nitrogen	Nitrate|Sulfonate|Bicarbonate		ssuA	T20.15	TIGR01184	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D	Blueprint Marker	
Nitrogen	Nitrate|Sulfonate|Bicarbonate		ssuA	T20.15	TIGR01728	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family	Blueprint Marker	
Nitrogen	Nitrogen			T190	PF06218	Nitrogen permease regulator 2		
Nitrogen	Nitrogen			T190	PF03666	Nitrogen Permease regulator of amino acid transport activity 3		
Nitrogen	Urea			T20.20	TIGR03427	ABC_peri_uca: ABC transporter periplasmic binding protein, urea carboxylase region		
Nitrogen	Urea			T252	PF07168	Ureide permease		
Nitrogen	Urea		urtABC	T64.1	TIGR03407	urea_ABC_UrtA: urea ABC transporter, urea binding protein	Blueprint Marker	
Nitrogen	Urea		urtABC	T64.1	TIGR03409	urea_trans_UrtB: urea ABC transporter, permease protein UrtB	Blueprint Marker	
Nitrogen	Urea		urtABC	T64.1	TIGR03408	urea_trans_UrtC: urea ABC transporter, permease protein UrtC	Blueprint Marker	
Nitrogen	Urea		urtABC	T64.1	TIGR03411	urea_trans_UrtD: urea ABC transporter, ATP-binding protein UrtD	Blueprint Marker	
Nitrogen	Urea		urtABC	T64.1	TIGR03410	urea_trans_UrtE: urea ABC transporter, ATP-binding protein UrtE	Blueprint Marker	
Nitrogen	Urea		urtABC_arc	T64.2	TIGR03669	urea_ABC_arch: urea ABC transporter, substrate-binding protein	Blueprint Marker	
Nitrogen	Urea		urtABC_arc	T64.2	TIGR03622	urea_t_UrtB_arc: urea ABC transporter, permease protein UrtB	Blueprint Marker	
Nitrogen	Urea		urtABC_arc	T64.2	TIGR03727	urea_t_UrtC_arc: urea ABC transporter, permease protein UrtC	Blueprint Marker	
Nitrogen	Urea			T64.3	PF03253	Urea transporter		
Nitrogen	Urea			T64.3	TIGR03441	urea_trans_yut: urea transporter		
Nitrogen	Urea			T64.3	COG4413	Urea transporter		
Nitrogen	Urea			T64.4	TIGR03428	ureacarb_perm: permease, urea carboxylase system		
Nitrogen	Urea			T64.5	PF02293	AmiS/UreI family transporter		
Nucleosides	Nucleosides		nupC	T15	PF07662	Na+ dependent nucleoside transporter C-terminus		
Nucleosides	Nucleosides		nupC	T15	PF01773	Na+ dependent nucleoside transporter N-terminus		
Nucleosides	Nucleosides		nupC	T15	COG1972	Nucleoside permease		
Nucleosides	Nucleosides		nupC	T15	TIGR00804	nupC: nucleoside transporter, NupC family		
Nucleosides	Nucleosides			T42	TIGR00889	2A0110: nucleoside transporter		
Nucleosides	Nucleosides			T42	PF03825	Nucleoside H+ symporter		
Nucleosides	Nucleosides			T42	TIGR00902	2A0127: MFS transporter, phenyl propionate permease (PPP) family		
Nucleosides	Nucleosides			T74.2	TIGR00939	2a57: nucleoside Transporter		
